filename,cloud_cover,clear_pixel_count_pt,count_orbit_pixels_pt,cloud_cover_pt
S2A_MSIL2A_20240119T112401_N0510_R037_T29SMD_20240119T152853,68.055141,---,---,---
S2A_MSIL2A_20240122T113351_N0510_R080_T29SMD_20240122T155700,71.25147,29609885,41449366,29
S2B_MSIL2A_20240124T112249_N0510_R037_T29SMD_20240124T124922,0.001991,42424043,42427020,0
S2B_MSIL2A_20240127T113319_N0510_R080_T29SMD_20240127T125633,57.886499,---,---,---
S2A_MSIL2A_20240129T112321_N0510_R037_T29SMD_20240129T153355,72.562963,19586236,42427020,54
S2A_MSIL2A_20240201T113311_N0510_R080_T29SMD_20240201T153901,8.359273,41179053,41215468,0
S2B_MSIL2A_20240203T112159_N0510_R037_T29SMD_20240203T130038,5.469346,42422813,42427020,0
S2B_MSIL2A_20240206T113319_N0510_R080_T29SMD_20240206T125208,57.19161,---,---,---
S2A_MSIL2A_20240208T112231_N0510_R037_T29SMD_20240208T165452,99.999946,---,---,---
S2A_MSIL2A_20240211T113311_N0510_R080_T29SMD_20240211T154752,80.290532,---,---,---
S2B_MSIL2A_20240213T112119_N0510_R037_T29SMD_20240213T135456,99.883449,---,---,---
S2B_MSIL2A_20240216T113319_N0510_R080_T29SMD_20240216T125257,99.510443,---,---,---
S2A_MSIL2A_20240218T112131_N0510_R037_T29SMD_20240218T154948,26.1718,37611543,42427020,11
S2A_MSIL2A_20240221T113321_N0510_R080_T29SMD_20240221T154051,79.740423,22003749,41051264,46
S2B_MSIL2A_20240223T112119_N0510_R037_T29SMD_20240223T135911,27.502507,18712542,42427020,56
S2B_MSIL2A_20240226T113319_N0510_R080_T29SMD_20240226T140241,32.15197,17594229,40814922,57
S2A_MSIL2A_20240228T112111_N0510_R037_T29SMD_20240228T155252,34.070116,27457575,42427020,35
S2A_MSIL2A_20240302T113321_N0510_R080_T29SMD_20240302T153352,95.435011,---,---,---
S2B_MSIL2A_20240304T112109_N0510_R037_T29SMD_20240304T140148,51.834106,---,---,---
S2B_MSIL2A_20240307T113309_N0510_R080_T29SMD_20240307T172314,89.677584,---,---,---
S2A_MSIL2A_20240309T112111_N0510_R037_T29SMD_20240309T153050,70.805413,---,---,---
S2A_MSIL2A_20240312T113321_N0510_R080_T29SMD_20240312T152752,99.99963,---,---,---
S2B_MSIL2A_20240314T112109_N0510_R037_T29SMD_20240314T135716,40.731382,---,---,---
S2B_MSIL2A_20240317T113319_N0510_R080_T29SMD_20240317T140408,71.79572,33636159,40912912,18
S2A_MSIL2A_20240319T112111_N0510_R037_T29SMD_20240319T153759,99.999964,---,---,---
S2A_MSIL2A_20240322T113321_N0510_R080_T29SMD_20240322T154153,99.977219,---,---,---
S2B_MSIL2A_20240324T112119_N0510_R037_T29SMD_20240324T142428,100,---,---,---
S2B_MSIL2A_20240327T113319_N0510_R080_T29SMD_20240327T140108,60.718769,---,---,---
S2A_MSIL2A_20240329T112111_N0510_R037_T29SMD_20240329T153053,64.154589,---,---,---
S2A_MSIL2A_20240401T113321_N0510_R080_T29SMD_20240401T170950,94.641232,---,---,---
S2B_MSIL2A_20240403T112109_N0510_R037_T29SMD_20240403T153354,39.963886,22707297,42667463,47
S2B_MSIL2A_20240406T113319_N0510_R080_T29SMD_20240406T124842,100,---,---,---
S2A_MSIL2A_20240408T112111_N0510_R037_T29SMD_20240408T154351,24.802913,20291260,42427020,52
S2A_MSIL2A_20240411T113321_N0510_R080_T29SMD_20240411T171653,17.072442,40759896,40771688,0
S2B_MSIL2A_20240413T112119_N0510_R037_T29SMD_20240413T124804,21.963385,36725871,42427020,13
S2B_MSIL2A_20240416T113319_N0510_R080_T29SMD_20240416T130759,11.014485,38702305,40448652,4
S2A_MSIL2A_20240418T112121_N0510_R037_T29SMD_20240418T153451,15.657352,40699217,42427020,4
S2A_MSIL2A_20240421T113321_N0510_R080_T29SMD_20240421T171402,0.039838,40196117,40467364,1
S2B_MSIL2A_20240423T112109_N0510_R037_T29SMD_20240423T125121,0.008572,42425695,42427020,0
S2B_MSIL2A_20240426T113319_N0510_R080_T29SMD_20240426T125710,89.62875,---,---,---
S2A_MSIL2A_20240428T112121_N0510_R037_T29SMD_20240428T153653,37.173948,---,---,---
S2A_MSIL2A_20240501T113321_N0510_R080_T29SMD_20240501T171752,37.030002,---,---,---
S2B_MSIL2A_20240503T112119_N0510_R037_T29SMD_20240503T130006,54.035509,26553731,42427020,37
S2B_MSIL2A_20240506T113319_N0510_R080_T29SMD_20240506T140049,15.285541,23212604,40700627,43
S2A_MSIL2A_20240508T112121_N0510_R037_T29SMD_20240508T171152,63.314897,39868811,42427020,6
S2A_MSIL2A_20240511T113321_N0510_R080_T29SMD_20240511T150851,84.067184,---,---,---
S2B_MSIL2A_20240513T112109_N0510_R037_T29SMD_20240513T140150,81.917578,---,---,---
S2B_MSIL2A_20240516T113319_N0510_R080_T29SMD_20240516T153656,92.336589,---,---,---
S2A_MSIL2A_20240518T112121_N0510_R037_T29SMD_20240518T183951,61.93946,---,---,---
S2A_MSIL2A_20240521T113321_N0510_R080_T29SMD_20240521T164358,34.089679,16950814,41112026,59
S2B_MSIL2A_20240523T112109_N0510_R037_T29SMD_20240523T125343,0.061327,42426262,42427020,0
S2B_MSIL2A_20240526T113319_N0510_R080_T29SMD_20240526T125642,33.685187,29486903,40923507,28
S2A_MSIL2A_20240528T112121_N0510_R037_T29SMD_20240528T164850,0.058899,42333761,42427020,0
S2A_MSIL2A_20240531T113321_N0510_R080_T29SMD_20240531T190753,1.243496,40777220,40777220,0
S2B_MSIL2A_20240602T112119_N0510_R037_T29SMD_20240602T125034,13.592486,40765906,42427020,4
S2B_MSIL2A_20240605T113319_N0510_R080_T29SMD_20240605T125553,74.069679,---,---,---
S2A_MSIL2A_20240607T112121_N0510_R037_T29SMD_20240607T164951,97.97051,---,---,---
S2A_MSIL2A_20240610T113321_N0510_R080_T29SMD_20240610T152959,82.722622,---,---,---
S2B_MSIL2A_20240612T112119_N0510_R037_T29SMD_20240612T135450,10.55852,36684924,42427020,14
S2B_MSIL2A_20240615T113319_N0510_R080_T29SMD_20240615T125430,13.781551,23529470,40690910,42
S2A_MSIL2A_20240617T112121_N0510_R037_T29SMD_20240617T171646,69.827563,---,---,---
S2A_MSIL2A_20240620T113321_N0510_R080_T29SMD_20240620T172953,70.324415,---,---,---
S2B_MSIL2A_20240622T112119_N0510_R037_T29SMD_20240622T125217,25.852451,40605955,42427020,4
S2B_MSIL2A_20240625T113319_N0510_R080_T29SMD_20240625T125719,96.275306,---,---,---
S2A_MSIL2A_20240627T112121_N0510_R037_T29SMD_20240627T170651,81.476903,---,---,---
